시도,시군구,민주확률%,도전진영,근거,폴기관,폴등록일,폴민주,폴비민주,폴비민주당,폴마진
부산광역시,서구,4.5,C,hist,,,,,,
강원특별자치도,삼척시,4.4,I,poll,(주)에이스리서치,2026-04-29,17.5,29.6,개혁신당,-12.1
경상남도,사천시,4.1,C,hist,,,,,,
대구광역시,달서구,3.4,C,hist,,,,,,
경상남도,창녕군,3.3,C,hist,,,,,,
경상남도,함안군,3.1,C,hist,,,,,,
대구광역시,동구,2.6,C,hist,,,,,,
경기도,포천시,2.5,C,poll,한길리서치,2026-05-19,38.9,52.8,국민의힘,-13.9
경상북도,김천시,2.3,C,hist,,,,,,
경상북도,고령군,2.1,C,hist,,,,,,
경상북도,문경시,2.0,C,hist,,,,,,
경상북도,경주시,1.9,C,hist,,,,,,
경상북도,영주시,1.9,C,hist,,,,,,
대구광역시,수성구,1.9,C,poll,(주)에이스리서치,2026-05-19,36.2,50.8,국민의힘,-14.6
경상북도,포항시,1.8,C,hist,,,,,,
경상북도,영덕군,1.8,C,hist,,,,,,
전라남도,순천시,1.8,I,poll,(주)데일리리서치,2026-05-25,33.4,48.2,무소속,-14.8
경상남도,거창군,1.7,I,hist,,,,,,
대구광역시,서구,1.6,C,hist,,,,,,
대구광역시,북구,1.6,C,hist,,,,,,
경상북도,봉화군,1.3,C,hist,,,,,,
경상북도,경산시,1.2,C,hist,,,,,,
대구광역시,중구,1.1,C,hist,,,,,,
대구광역시,달성군,1.0,C,hist,,,,,,
충청남도,부여군,1.0,I,poll,(주)데일리리서치,2026-05-21,23.8,40.2,무소속,-16.4
대구광역시,남구,0.9,C,hist,,,,,,
전라남도,강진군,0.9,I,poll,(주)데일리리서치,2026-04-23,39.3,55.7,무소속,-16.4
경상북도,예천군,0.8,C,hist,,,,,,
경상북도,안동시,0.6,C,poll,리서치웰,2026-04-12,14.3,31.4,국민의힘,-17.1
경상남도,하동군,0.1,C,poll,한길리서치,2026-05-24,36.3,56.3,국민의힘,-20.0
경상북도,상주시,0.1,C,poll,한길리서치,2026-04-08,13.4,34.3,국민의힘,-20.9
경상남도,합천군,0.0,C,none,,,,,,
경상북도,구미시,0.0,C,poll,(주)에이스리서치,2026-05-22,29.0,53.0,국민의힘,-24.0
경상북도,영천시,0.0,C,poll,(주)데일리리서치,2026-05-20,11.5,47.5,국민의힘,-36.0
경상북도,의성군,0.0,C,none,,,,,,
경상북도,청도군,0.0,C,none,,,,,,
경상북도,성주군,0.0,C,none,,,,,,
경상북도,울진군,0.0,C,none,,,,,,
울산광역시,동구,0.0,C,none,,,,,,
충청남도,보령시,0.0,I,poll,(주)데일리리서치,2026-05-26,18.5,51.1,무소속,-32.6
