시도,시군구,민주확률%,도전진영,근거,무투표승자,prior마진,폴기관,폴등록일,폴조사일,폴민주,폴비민주,폴비민주당,폴마진
경기도,동두천시,64.9,C,past,,4.4,,,,,,,
인천광역시,미추홀구,63.2,C,past,,3.9,,,,,,,
강원특별자치도,정선군,63.1,C,poll,,-11.0,(주)에이스리서치,2026-04-19,04-02,48.8,40.2,국민의힘,8.6
서울특별시,영등포구,62.3,C,past,,3.7,,,,,,,
서울특별시,중구,61.5,C,past,,3.4,,,,,,,
경기도,하남시,60.1,C,poll,,3.8,(주)데일리리서치,2026-05-24,05-23,47.0,45.6,국민의힘,1.4
인천광역시,연수구,59.6,C,past,,2.9,,,,,,,
강원특별자치도,철원군,58.9,C,poll,,-4.0,(주)에이스리서치,2026-05-03,05-02,46.1,42.0,국민의힘,4.1
전라남도,무안군,58.0,I,poll,,71.8,모노커뮤니케이션즈(모노리서치),2026-05-28,05-27,44.8,43.2,무소속,1.6
충청북도,청주시,57.5,C,past,,2.1,,,,,,,
부산광역시,기장군,57.0,C,poll,,-9.8,(주)에이스리서치,2026-05-25,05-02,40.3,34.1,국민의힘,6.2
경상남도,김해시,54.3,C,past,,1.4,,,,,,,
서울특별시,동작구,54.3,C,past,,1.0,,,,,,,
충청남도,부여군,53.2,C,poll,,1.6,(주)데일리리서치,2026-05-21,05-20,37.7,37.5,국민의힘,0.2
부산광역시,부산진구,52.4,C,poll,,-13.5,(주)에이스리서치,2026-05-25,05-02,49.1,42.7,국민의힘,6.4
경상남도,거제시,51.6,C,past,,0.4,,,,,,,
부산광역시,해운대구,51.4,C,poll,,-16.8,(주)에이스리서치,2026-05-25,05-02,50.4,43.1,국민의힘,7.3
서울특별시,강동구,50.7,C,past,,-0.3,,,,,,,
인천광역시,영종구,50.2,C,past,,,,,,,,,
강원특별자치도,강릉시,48.0,C,poll,,-11.1,(주)에이스리서치,2026-05-07,05-02,42.8,38.9,국민의힘,3.9
경기도,이천시,47.6,C,past,,-0.5,,,,,,,
전라남도,영광군,46.4,I,poll,,74.8,(주)데일리리서치,2026-05-15,,29.7,30.6,무소속,-0.9
충청북도,옥천군,46.2,C,past,,-1.0,,,,,,,
충청남도,서산시,45.1,C,past,,-1.6,,,,,,,
울산광역시,남구,44.8,C,poll,,-17.7,한길리서치,2026-05-27,,41.5,35.5,국민의힘,6.0
경기도,성남시,44.6,C,poll,,3.5,여론조사공정(주),2026-05-24,05-24,42.4,45.5,국민의힘,-3.1
경기도,과천시,42.2,C,past,,-2.4,,,,,,,
충청남도,서천군,40.8,C,past,,-2.9,,,,,,,
충청북도,보은군,40.8,C,poll,,-13.0,모노커뮤니케이션즈(모노리서치),2026-05-07,05-05,48.2,45.7,국민의힘,2.5
인천광역시,제물포구,40.4,C,poll,,,한길리서치,2026-05-05,,42.8,44.7,국민의힘,-1.9
충청남도,태안군,39.1,C,past,,-3.5,,,,,,,
충청남도,공주시,39.0,C,past,,-3.0,,,,,,,
충청남도,논산시,37.9,C,past,,-3.8,,,,,,,
강원특별자치도,양양군,35.0,C,poll,,-12.8,(주)에이스리서치,2026-05-06,05-02,46.1,45.3,국민의힘,0.8
충청남도,홍성군,34.9,C,past,,-4.8,,,,,,,
충청북도,충주시,34.1,C,past,,-5.1,,,,,,,
경상남도,진주시,33.3,I,poll,,-27.8,(주)데일리리서치,2026-05-22,05-22,32.1,35.7,무소속,-3.6
충청북도,제천시,33.2,C,past,,-5.4,,,,,,,
전라남도,진도군,32.5,I,poll,,73.4,모노커뮤니케이션즈(모노리서치),2026-05-27,05-26,46.7,50.6,무소속,-3.9
울산광역시,중구,29.9,C,poll,,-14.1,한길리서치,2026-05-27,,42.1,42.6,국민의힘,-0.5
강원특별자치도,영월군,29.6,C,poll,,-16.9,(주)에이스리서치,2026-04-23,04-02,34.3,33.4,국민의힘,0.9
경기도,연천군,29.2,C,poll,,-5.2,(주)데일리리서치,2026-05-28,05-25,40.4,44.7,국민의힘,-4.3
전라남도,완도군,28.6,I,poll,,80.2,모노커뮤니케이션즈(모노리서치),2026-05-23,05-19,45.9,50.6,무소속,-4.7
전라남도,신안군,28.1,I,poll,,80.2,한길리서치,2026-05-06,,41.2,46.1,조국혁신당,-4.9
부산광역시,강서구,25.8,C,past,,-7.8,,,,,,,
부산광역시,북구,25.4,C,past,,-7.7,,,,,,,
강원특별자치도,평창군,24.7,C,poll,,-15.3,(주)에이스리서치,2026-04-28,04-02,46.3,48.0,국민의힘,-1.7
전라남도,함평군,23.5,I,poll,,81.0,모노커뮤니케이션즈(모노리서치),2026-05-22,05-19,43.6,49.7,조국혁신당,-6.1
부산광역시,영도구,22.1,C,past,,-8.9,,,,,,,
강원특별자치도,홍천군,19.9,C,poll,,-13.5,(주)에이스리서치,2026-04-27,04-02,41.0,45.4,국민의힘,-4.4
충청북도,괴산군,19.7,C,past,,-10.0,,,,,,,
강원특별자치도,태백시,19.6,C,poll,,-14.5,(주)데일리리서치,2026-05-06,,42.1,46.2,국민의힘,-4.1
서울특별시,용산구,19.6,C,past,,-10.6,,,,,,,
경상남도,창원시,19.3,C,poll,,-15.4,모노커뮤니케이션즈(모노리서치),2026-05-27,05-26,38.0,41.9,국민의힘,-3.9
충청북도,영동군,18.7,C,past,,-10.5,,,,,,,
서울특별시,송파구,18.6,C,poll,,-8.2,모노커뮤니케이션즈(모노리서치),2026-05-25,05-23,40.5,47.6,국민의힘,-7.1
인천광역시,강화군,17.1,C,poll,,-1.7,한길리서치,2026-04-24,,39.8,50.4,국민의힘,-10.6
강원특별자치도,동해시,17.0,C,poll,,-19.3,(주)에이스리서치,2026-05-27,05-02,41.24,44.41,국민의힘,-3.2
부산광역시,사하구,16.7,C,past,,-11.4,,,,,,,
충청남도,청양군,15.4,C,poll,,-1.1,(주)데일리리서치,2026-05-15,05-15,41.8,53.4,국민의힘,-11.6
부산광역시,사상구,15.0,C,past,,-12.8,,,,,,,
부산광역시,남구,14.7,C,past,,-12.7,,,,,,,
충청북도,단양군,14.2,C,past,,-12.8,,,,,,,
경기도,가평군,14.0,C,past,,-13.0,,,,,,,
경기도,포천시,12.0,C,poll,,-0.4,한길리서치,2026-05-19,,38.9,52.8,국민의힘,-13.9
인천광역시,옹진군,10.9,C,past,,-14.5,,,,,,,
경기도,양평군,10.5,C,poll,,-7.2,모노커뮤니케이션즈(모노리서치),2026-05-27,05-26,40.4,52.0,국민의힘,-11.6
충청남도,보령시,10.4,C,poll,,-8.6,(주)데일리리서치,2026-05-26,05-23,40.2,51.5,국민의힘,-11.3
경기도,여주시,9.2,C,poll,,-11.7,(주)데일리리서치,2026-05-27,05-27,40.2,51.1,국민의힘,-10.9
충청남도,예산군,9.1,C,past,,-15.9,,,,,,,
부산광역시,동래구,8.7,C,past,,-16.0,,,,,,,
부산광역시,서구,8.6,C,past,,-16.5,,,,,,,
경상남도,남해군,8.5,C,past,,-16.4,,,,,,,
부산광역시,동구,7.1,C,past,,-17.3,,,,,,,
부산광역시,금정구,6.6,C,past,,-18.0,,,,,,,
경상남도,통영시,6.3,C,past,,-18.1,,,,,,,
부산광역시,중구,4.2,C,past,,-20.4,,,,,,,
전라남도,순천시,4.0,I,poll,,64.9,(주)데일리리서치,2026-05-25,05-25,33.4,48.2,무소속,-14.8
부산광역시,수영구,3.0,C,past,,-22.1,,,,,,,
전라남도,강진군,2.8,I,poll,,60.6,(주)데일리리서치,2026-04-23,04-22,39.3,55.7,무소속,-16.4
경상남도,고성군,1.9,C,past,,-24.6,,,,,,,
서울특별시,서초구,0.8,C,past,,-28.5,,,,,,,
경상남도,사천시,0.7,C,past,,-29.1,,,,,,,
경상남도,함안군,0.6,C,past,,-30.8,,,,,,,
경상남도,하동군,0.6,C,poll,,-23.5,한길리서치,2026-05-24,,36.3,56.3,국민의힘,-20.0
서울특별시,강남구,0.6,C,past,,-30.3,,,,,,,
경상북도,안동시,0.3,C,poll,,-38.2,리서치웰,2026-04-12,04-11,14.3,31.4,국민의힘,-17.1
강원특별자치도,삼척시,0.2,C,poll,,-15.1,(주)에이스리서치,2026-04-29,04-02,31.6,57.9,국민의힘,-26.3
경상남도,창녕군,0.1,C,past,,-37.6,,,,,,,
경상남도,산청군,0.1,C,past,,-41.3,,,,,,,
경상북도,울릉군,0.1,C,past,,-38.1,,,,,,,
대구광역시,수성구,0.1,C,poll,,-52.1,(주)에이스리서치,2026-05-19,05-02,36.2,50.8,국민의힘,-14.6
경상남도,밀양시,0.0,C,past,,-42.7,,,,,,,
경상남도,의령군,0.0,I,poll,,-26.4,(주)경남통계리서치,2026-05-23,05-02,19.1,55.7,무소속,-36.6
경상남도,함양군,0.0,C,poll,,-36.0,모노커뮤니케이션즈(모노리서치),2026-05-24,05-23,13.2,43.1,국민의힘,-29.9
경상남도,거창군,0.0,I,past,,-42.7,,,,,,,
경상남도,합천군,0.0,C,none,,-47.3,,,,,,,
경상북도,포항시,0.0,C,past,,-43.8,,,,,,,
경상북도,경주시,0.0,C,past,,-47.3,,,,,,,
경상북도,김천시,0.0,C,past,,-53.7,,,,,,,
경상북도,구미시,0.0,C,poll,,-39.5,(주)에이스리서치,2026-05-22,05-02,29.0,53.0,국민의힘,-24.0
경상북도,영주시,0.0,C,past,,-45.7,,,,,,,
경상북도,영천시,0.0,C,poll,,-52.2,리서치웰,2026-05-23,05-01,12.5,41.1,국민의힘,-28.6
경상북도,상주시,0.0,C,poll,,-56.0,한길리서치,2026-04-08,,13.4,34.3,국민의힘,-20.9
경상북도,문경시,0.0,C,past,,-56.2,,,,,,,
경상북도,경산시,0.0,C,past,,-64.3,,,,,,,
경상북도,의성군,0.0,C,none,,-65.0,,,,,,,
경상북도,청송군,0.0,C,past,,-71.0,,,,,,,
경상북도,영양군,0.0,C,past,,-51.6,,,,,,,
경상북도,영덕군,0.0,C,past,,-78.0,,,,,,,
경상북도,청도군,0.0,C,none,,-55.7,,,,,,,
경상북도,고령군,0.0,C,past,,-54.5,,,,,,,
경상북도,성주군,0.0,C,none,,-56.5,,,,,,,
경상북도,칠곡군,0.0,C,past,,-45.8,,,,,,,
경상북도,예천군,0.0,C,past,,-41.7,,,,,,,
경상북도,봉화군,0.0,C,past,,-50.2,,,,,,,
경상북도,울진군,0.0,C,none,,-68.3,,,,,,,
대구광역시,중구,0.0,C,past,,-42.8,,,,,,,
대구광역시,동구,0.0,C,past,,-56.9,,,,,,,
대구광역시,서구,0.0,C,past,,-59.4,,,,,,,
대구광역시,남구,0.0,C,past,,-50.6,,,,,,,
대구광역시,북구,0.0,C,past,,-54.0,,,,,,,
대구광역시,달서구,0.0,C,past,,-51.6,,,,,,,
대구광역시,달성군,0.0,C,past,,-48.2,,,,,,,
대구광역시,군위군,0.0,C,past,,-70.6,,,,,,,
부산광역시,연제구,0.0,C,past,,-41.0,,,,,,,
울산광역시,동구,0.0,C,none,,-8.1,,,,,,,
